"SUID","__gpml:GraphID","__gpml:textlabel","__gpml:XrefDatasource","__gpml:XrefId","BorderStyle","BorderThickness","Color","direction","Ensembl","FillColor","gsea rank","Height","HGNC","IsGPMLShape","LabelFont","LabelSize","name","parent","position","ptm","selected","Shape","shared name","Transparent","Type","Width"
"62","ff1","FZD2","Entrez Gene","2535","","1.0","#000000","","","#ffffff","1.12817693214074","20.0","null","false","Dialog.plain","10.0","FZD2","","","","false","Rectangle","FZD2","false","GeneProduct","48.247"
"63","fe4","WNT16","Entrez Gene","51384","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT16","","","","false","Rectangle","WNT16","false","GeneProduct","60.0"
"64","fd4","TCF7","Ensembl","ENSG00000081059","","1.0","#000000","","ENSG00000081059","#ffffff","1.08435890594274","21.0","TCF7","false","Dialog.plain","10.0","TCF7","","","","false","Rectangle","TCF7","false","GeneProduct","70.904"
"65","fc06e","MAP3K7","Ensembl","ENSG00000135341","","1.0","#000000","","ENSG00000135341","#ffffff","0.0479347830128923","20.0","MAP3K7","false","Dialog.plain","10.0","MAP3K7","","","","false","Rectangle","MAP3K7","false","GeneProduct","60.0"
"66","fa595","Ca2+","HMDB","HMDB0000464","","1.0","#0000ff","","","#ffffff",,"25.833","null","false","Dialog.plain","10.0","Ca2+","","","","false","Rectangle","Ca2+","false","Metabolite","63.667"
"67","f93","FZD9","Entrez Gene","8326","","1.0","#000000","","","#ffffff","0.0549638248677873","20.0","null","false","Dialog.plain","10.0","FZD9","","","","false","Rectangle","FZD9","false","GeneProduct","48.247"
"68","f2d","CCND2","Entrez Gene","894","","1.0","#000000","","","#ffffff","-0.834384487456644","20.0","null","false","Dialog.plain","10.0","CCND2","","","","false","Rectangle","CCND2","false","GeneProduct","60.0"
"69","f1985","CSNK2A2","Ensembl","ENSG00000070770","","1.0","#000000","","ENSG00000070770","#ffffff","0.778549732109679","20.0","CSNK2A2","false","Dialog.plain","10.0","CSNK2A2","","","","false","Rectangle","CSNK2A2","false","GeneProduct","60.0"
"70","f11","MYC","Entrez Gene","4609","","1.0","#000000","","","#ffffff","1.96104353025202","20.0","null","false","Dialog.plain","10.0","MYC","","","","false","Rectangle","MYC","false","GeneProduct","60.0"
"71","ee328","26S Proteasome 
Degradation","WikiPathways","WP183","","0.0","#14961e","","","#ffffff",,"36.316","null","false","Dialog.bold","10.0","26S Proteasome 
Degradation","","","","false","None","26S Proteasome 
Degradation","true","Pathway","115.1"
"72","e95","MAPK10","Ensembl","ENSG00000050748","","1.0","#000000","","ENSG00000050748","#ffffff","1.52880370739127","20.0","MAPK9","false","Dialog.plain","10.0","MAPK9","","","","false","Rectangle","MAPK9","false","GeneProduct","60.0"
"73","e8729","Focal Adhesion","WikiPathways","WP306","","0.0","#14961e","","","#ffffff",,"25.0","null","false","Dialog.bold","10.0","Focal Adhesion","","","","false","None","Focal Adhesion","true","Pathway","90.0"
"74","e7c","FOSL1","Entrez Gene","8061","","1.0","#000000","","","#ffffff","-0.41163177157055","20.0","null","false","Dialog.plain","10.0","FOSL1","","","","false","Rectangle","FOSL1","false","GeneProduct","60.0"
"75","e6b50","CSNK2A3","Ensembl","ENSG00000254598","","1.0","#000000","","ENSG00000254598","#ffffff",,"20.0","CSNK2A3","false","Dialog.plain","10.0","CSNK2A3","","","","false","Rectangle","CSNK2A3","false","GeneProduct","60.0"
"76","e55fa","CSNK1A1L","Ensembl","ENSG00000180138","","1.0","#000000","","ENSG00000180138","#ffffff",,"20.0","CSNK1A1L","false","Dialog.plain","10.0","CSNK1A1L","","","","false","Rectangle","CSNK1A1L","false","GeneProduct","60.0"
"77","e3f","WNT10A","Entrez Gene","80326","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT10A","","","","false","Rectangle","WNT10A","false","GeneProduct","60.0"
"78","e34dd","PPP3CB","Ensembl","ENSG00000107758","","1.0","#000000","","ENSG00000107758","#ffffff","-0.417193598752985","20.0","PPP3CB","false","Dialog.plain","10.0","PPP3CB","","","","false","Rectangle","PPP3CB","false","GeneProduct","60.0"
"79","e183b","CHD8","Ensembl","ENSG00000100888","","1.0","#000000","","ENSG00000100888","#ffffff","1.08082247900582","20.0","CHD8","false","Dialog.plain","10.0","CHD8","","","","false","Rectangle","CHD8","false","GeneProduct","60.0"
"80","e15","DVL1","Entrez Gene","1855","","1.0","#000000","","","#ffffff","0.550851061278941","20.0","null","false","Dialog.plain","10.0","DVL1","","","","false","Rectangle","DVL1","false","GeneProduct","60.0"
"81","e07","WNT7B","Entrez Gene","7477","","1.0","#000000","","","#ffffff","1.73026213374657","20.0","null","false","Dialog.plain","10.0","WNT7B","","","","false","Rectangle","WNT7B","false","GeneProduct","60.0"
"82","dfc","FZD5","Entrez Gene","7855","","1.0","#000000","","","#ffffff","0.434214586926874","20.0","null","false","Dialog.plain","10.0","FZD5","","","","false","Rectangle","FZD5","false","GeneProduct","48.247"
"83","dda","WNT10B","Entrez Gene","7480","","1.0","#000000","","","#ffffff","-0.493236437087436","20.0","null","false","Dialog.plain","10.0","WNT10B","","","","false","Rectangle","WNT10B","false","GeneProduct","60.0"
"84","db1","AXIN1","Entrez Gene","8312","","1.0","#000000","","","#ffffff","1.13467225297627","20.0","null","false","Dialog.plain","10.0","AXIN1","","","","false","Rectangle","AXIN1","false","GeneProduct","60.0"
"85","da75f","CSNK2A1","Ensembl","ENSG00000101266","","1.0","#000000","","ENSG00000101266","#ffffff","0.820252382042353","20.0","CSNK2A1","false","Dialog.plain","10.0","CSNK2A1","","","","false","Rectangle","CSNK2A1","false","GeneProduct","60.0"
"86","d98","WNT3","Entrez Gene","7473","","1.0","#000000","","","#ffffff","0.814995150152323","20.0","null","false","Dialog.plain","10.0","WNT3","","","","false","Rectangle","WNT3","false","GeneProduct","60.0"
"87","d8cec","CAMK2A","Ensembl","ENSG00000070808","","1.0","#000000","","ENSG00000070808","#ffffff",,"20.0","CAMK2A","false","Dialog.plain","10.0","CAMK2A","","","","false","Rectangle","CAMK2A","false","GeneProduct","60.0"
"88","d7f","WNT4","Entrez Gene","54361","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT4","","","","false","Rectangle","WNT4","false","GeneProduct","60.0"
"89","d7828","RYK","Entrez Gene","6259","","1.0","#000000","","","#ffffff","3.03023320802517","25.0","null","false","Dialog.plain","10.0","RYK","","","","false","Rectangle","RYK","false","GeneProduct","38.196"
"90","d68c5","CAMK2G","Ensembl","ENSG00000148660","","1.0","#000000","","ENSG00000148660","#ffffff","-0.182996956633923","20.0","CAMK2G","false","Dialog.plain","10.0","CAMK2G","","","","false","Rectangle","CAMK2G","false","GeneProduct","60.0"
"91","d64","FZD6","Entrez Gene","8323","","1.0","#000000","","","#ffffff","-0.739354386945177","20.0","null","false","Dialog.plain","10.0","FZD6","","","","false","Rectangle","FZD6","false","GeneProduct","48.247"
"92","d63","WNT16","Entrez Gene","51384","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT16","","","","false","Rectangle","WNT16","false","GeneProduct","60.0"
"93","d5f4d","KREM1","Entrez Gene","83999","","1.0","#000000","","","#ffffff",,"25.0","null","false","Dialog.plain","10.0","KREM1","","","","false","Rectangle","KREM1","false","GeneProduct","45.883"
"94","d4ce7","LRP6","Entrez Gene","4040","","1.0","#000000","","","#ffffff","2.92804439344753","27.287","null","false","Dialog.plain","10.0","LRP6","","","","false","Rectangle","LRP6","false","GeneProduct","45.757"
"95","d4b","FZD1","Entrez Gene","8321","","1.0","#000000","","","#ffffff","0.336632153630582","20.0","null","false","Dialog.plain","10.0","FZD1","","","","false","Rectangle","FZD1","false","GeneProduct","48.247"
"96","d3f05","ROR1","Entrez Gene","4919","","1.0","#000000","","","#ffffff","0.0958878393084071","25.0","null","false","Dialog.plain","10.0","ROR1","","","","false","Rectangle","ROR1","false","GeneProduct","43.306"
"97","d33","WNT5A","Entrez Gene","7474","","1.0","#000000","","","#ffffff","0.888201652334523","20.0","null","false","Dialog.plain","10.0","WNT5A","","","","false","Rectangle","WNT5A","false","GeneProduct","60.0"
"98","d07","CCND3","Entrez Gene","896","","1.0","#000000","","","#ffffff","-0.719183762548349","20.0","null","false","Dialog.plain","10.0","CCND3","","","","false","Rectangle","CCND3","false","GeneProduct","60.0"
"99","d06","WNT6","Entrez Gene","7475","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT6","","","","false","Rectangle","WNT6","false","GeneProduct","60.0"
"100","cfb","DVL2","Entrez Gene","1856","","1.0","#000000","","","#ffffff","1.8214646172014","20.0","null","false","Dialog.plain","10.0","DVL2","","","","false","Rectangle","DVL2","false","GeneProduct","60.0"
"101","cf2a9","CAMK2B","Ensembl","ENSG00000058404","","1.0","#000000","","ENSG00000058404","#ffffff",,"20.0","CAMK2B","false","Dialog.plain","10.0","CAMK2B","","","","false","Rectangle","CAMK2B","false","GeneProduct","60.0"
"102","cef","PRKCG","Entrez Gene","5582","","1.0","#000000","","","#ffffff","0.594321996839949","20.0","null","false","Dialog.plain","10.0","PRKCG","","","","false","Rectangle","PRKCG","false","GeneProduct","60.0"
"103","cdf","FZD4","Entrez Gene","6424","","1.0","#000000","","","#ffffff","1.14257334233348","20.0","null","false","Dialog.plain","10.0","FZD4","","","","false","Rectangle","FZD4","false","GeneProduct","48.247"
"104","cc6","WNT2B","Entrez Gene","7482","","1.0","#000000","","","#ffffff","1.14963296857417","20.0","null","false","Dialog.plain","10.0","WNT2B","","","","false","Rectangle","WNT2B","false","GeneProduct","60.0"
"105","cc4c6","CSNK1A1","Ensembl","ENSG00000113712","","1.0","#000000","","ENSG00000113712","#ffffff","-2.1264163809677","20.0","CSNK1A1","false","Dialog.plain","10.0","CSNK1A1","","","","false","Rectangle","CSNK1A1","false","GeneProduct","60.0"
